,strain,image_name,patch_index,patch_centroid_x_nm,patch_centroid_y_nm,patch_area_nm2,patch_circularity
173,WT,MG1_C3_save-2025.10.02-12.49.44.440,2,445.0770442193656,199.1104789402165,2412.7960205077884,0.9101223594162579
174,WT,MG1_C3_save-2025.10.02-12.49.44.440,3,190.66943989215386,244.18963553781515,2254.962921142557,0.8490661898504437
175,WT,MG1_C3_save-2025.10.02-12.49.44.440,4,344.8161334593217,151.06022768178477,2207.75604248045,0.8265109222657013
176,WT,MG1_C3_save-2025.10.02-12.49.44.440,5,379.76342113473504,92.29311260831642,1687.5267028808441,0.8171553942626478
177,WT,MG1_C3_save-2025.10.02-12.49.44.440,6,92.63629167308243,323.4513148354877,1548.2902526855328,0.8167461336611016
178,WT,MG1_C3_save-2025.10.02-12.49.44.440,7,256.20594785633733,398.57575209137525,1482.0098876952989,0.8236967780690322
179,WT,MG1_C3_save-2025.10.02-12.49.44.440,8,49.71171173455566,404.18002136751954,1469.1352844238154,0.8761867977688502
180,WT,MG1_C3_save-2025.10.02-12.49.44.440,9,62.3261955249026,267.77156335675,1391.4108276367058,0.8830125599043467
181,WT,MG1_C3_save-2025.10.02-12.49.44.440,10,189.44768150780294,314.0625241932973,1283.1687927245962,0.5382993768471893
182,WT,MG1_C3_save-2025.10.02-12.49.44.440,11,362.27602361903627,386.60396177299737,1169.6815490722563,0.801812518384243
183,WT,MG1_C3_save-2025.10.02-12.49.44.440,12,204.3467111374887,374.3054121937775,1154.8995971679572,0.8453504789633424
184,WT,MG1_C3_save-2025.10.02-12.49.44.440,13,291.5368542752665,455.97097406240744,1097.6791381835817,0.9108997399452162
185,WT,MG1_C3_save-2025.10.02-12.49.44.440,14,130.20456414473625,301.8691748903495,905.9906005859285,0.8138499968108712
186,WT,MG1_C3_save-2025.10.02-12.49.44.440,15,111.67967343102778,191.049953291013,882.6255798339754,0.9082000469006508
187,WT,MG1_C3_save-2025.10.02-12.49.44.440,16,175.6089899481185,111.49531857976602,857.8300476074148,0.8395854116756168
188,WT,MG1_C3_save-2025.10.02-12.49.44.440,17,449.5649181547599,147.5708705357136,834.4650268554619,0.8576993355565453
189,WT,MG1_C3_save-2025.10.02-12.49.44.440,18,113.1626246165639,45.593286682003885,777.2445678710866,0.8388101114801132
190,WT,MG1_C3_save-2025.10.02-12.49.44.440,19,37.90657767660025,442.6130484271504,720.0241088867134,0.8191701537023526
191,WT,MG1_C3_save-2025.10.02-12.49.44.440,20,211.23263513756746,37.17943090968004,551.7005920410106,0.81408721016322
192,WT,MG1_C3_save-2025.10.02-12.49.44.440,21,394.2303507952196,173.81953605980573,542.1638488769486,0.7952443691015578
193,WT,MG1_C3_save-2025.10.02-12.49.44.440,22,209.24808442398603,473.925405760128,537.3954772949171,0.805183423691498
194,WT,MG1_C3_save-2025.10.02-12.49.44.440,23,377.9478783700963,31.914445465686132,486.3739013671824,0.8074701816996463
195,WT,MG1_C3_save-2025.10.02-12.49.44.440,24,251.44327309236834,104.50395331325252,474.92980957030886,0.730584196954058
196,WT,MG1_C3_save-2025.10.02-12.49.44.440,25,294.49314024390105,186.74574441056822,469.20776367187136,0.7603847999872256
197,WT,MG1_C3_save-2025.10.02-12.49.44.440,26,265.77258783545074,212.84372793079,450.13427734374613,0.7685915104367442
198,WT,MG1_C3_save-2025.10.02-12.49.44.440,27,338.1648218142533,49.360348047156,441.55120849609006,0.7550172264696545
199,WT,MG1_C3_save-2025.10.02-12.49.44.440,28,65.97848705735151,439.85081673402425,412.9409790039036,0.7502496616820796
200,WT,MG1_C3_save-2025.10.02-12.49.44.440,29,243.53113918439604,228.3147717198571,403.40423583984006,0.7520668083570604
201,WT,MG1_C3_save-2025.10.02-12.49.44.440,30,150.69275511476977,201.21085953093723,398.15902709960557,0.758594882476773
202,WT,MG1_C3_save-2025.10.02-12.49.44.440,31,114.52035568467285,398.5360559306933,379.56237792968363,0.7419526269885401
203,WT,MG1_C3_save-2025.10.02-12.49.44.440,32,194.84230324073988,149.3252840909084,377.6550292968715,0.745915870829715
204,WT,MG1_C3_save-2025.10.02-12.49.44.440,33,86.56388099747436,393.6064749053012,377.65502929687113,0.7693555993644834
205,WT,MG1_C3_save-2025.10.02-12.49.44.440,34,439.73510483014667,355.4563097133742,374.31716918945057,0.7019393046743388
206,WT,MG1_C3_save-2025.10.02-12.49.44.440,35,232.34568927304858,121.8625332446803,358.58154296874693,0.7067313844204038
207,WT,MG1_C3_save-2025.10.02-12.49.44.440,36,158.23970037453114,340.5569698033693,339.5080566406218,0.6879257488070687
208,WT,MG1_C3_save-2025.10.02-12.49.44.440,37,226.3318198343439,326.66435492539046,314.23568725585613,0.6753344014775396
209,WT,MG3_C1_save-2025.10.03-14.24.42.873,0,351.24510077695544,283.39743227374964,24119.377136230363,0.12374993554637055
210,WT,MG3_C1_save-2025.10.03-14.24.42.873,1,265.0195358771612,104.6080516317221,3354.5494079589694,0.7506126322292214
211,WT,MG3_C1_save-2025.10.03-14.24.42.873,2,284.51070788079846,185.20132010089796,2370.834350585927,0.8564139732071652
212,WT,MG3_C1_save-2025.10.03-14.24.42.873,3,419.6961256884369,376.1125030032519,2150.058746337881,0.6753592119742194
213,WT,MG3_C1_save-2025.10.03-14.24.42.873,4,39.67138129594859,450.9830698615663,2032.2799682617094,0.8432874444576315
214,WT,MG3_C1_save-2025.10.03-14.24.42.873,5,427.246582813751,256.0823880709129,1586.9140624999916,0.918589342011615
215,WT,MG3_C1_save-2025.10.03-14.24.42.873,6,142.38643377166431,336.50529178002745,1577.3773193359298,0.8918659997617825
